lat, lon, elevation
16.1156,108.230878,2.120301246643066
16.115602,108.23088,2.129753112792969
16.115604,108.230882,2.139482975006104
16.115606,108.230884,2.14949107170105
16.115608,108.230886,2.159777164459229
16.11561,108.230888,2.170341491699219
16.115612,108.23089,2.181184053421021
16.115614,108.230892,2.191179513931274
16.115616,108.230894,2.200462341308594
16.115618,108.230896,2.210153102874756
16.11562,108.230898,2.22025203704834
16.115622,108.2309,2.230758666992188
16.115624,108.230902,2.241673231124878
16.115626,108.230904,2.25299596786499
16.115628,108.230906,2.264726400375366
16.11563,108.230908,2.276865005493164
16.115632,108.23091,2.289411306381226
16.115634,108.230912,2.297420024871826
16.115636,108.230914,2.304490804672241
16.115638,108.230916,2.311462163925171
16.11564,108.230918,2.318334579467773
16.115642,108.23092,2.32510781288147
16.115644,108.230922,2.331781625747681
16.115646,108.230924,2.338356256484985
16.115648,108.230926,2.344831705093384
16.11565,108.230928,2.351207971572876
16.115652,108.23093,2.357485055923462
16.115654,108.230932,2.363662958145142
16.115656,108.230934,2.368838310241699
16.115658,108.230936,2.357243537902832
16.11566,108.230938,2.346163511276245
16.115662,108.23094,2.335597991943359
16.115664,108.230942,2.325547218322754
16.115666,108.230944,2.316011190414429
16.115668,108.230946,2.306989669799805
16.11567,108.230948,2.298482894897461
16.115672,108.23095,2.290490865707397
16.115674,108.230952,2.283013343811035
16.115676,108.230954,2.276088953018188
16.115678,108.230956,2.269720077514648
16.11568,108.230958,2.263839244842529
16.115682,108.23096,2.258446455001831
16.115684,108.230962,2.253541707992554
16.115686,108.230964,2.249124765396118
16.115688,108.230966,2.245195865631104
16.11569,108.230968,2.24175500869751
16.115692,108.23097,2.238802194595337
16.115694,108.230972,2.236337184906006
16.115696,108.230974,2.234360218048096
16.115698,108.230976,2.232871055603027
16.1157,108.230978,2.248029470443726
16.115702,108.23098,2.27466082572937
16.115704,108.230982,2.301635503768921
16.115706,108.230984,2.328953504562378
16.115708,108.230986,2.356615304946899
16.11571,108.230988,2.384620428085327
16.115712,108.23099,2.412968873977661
16.115714,108.230992,2.44166088104248
16.115716,108.230994,2.470696449279785
16.115718,108.230996,2.500075340270996
16.11572,108.230998,2.523797750473022
16.115722,108.231,2.54582953453064
16.115724,108.231002,2.56653904914856
16.115726,108.231004,2.585926532745361
16.115728,108.231006,2.603992223739624
16.11573,108.231008,2.620735645294189
16.115732,108.23101,2.636157035827637
16.115734,108.231012,2.650256395339966
16.115736,108.231014,2.663033962249756
16.115738,108.231016,2.674489259719849
16.11574,108.231018,2.684622526168823
16.115742,108.23102,2.696939468383789
16.115744,108.231022,2.729272842407227
16.115746,108.231024,2.758347988128662
16.115748,108.231026,2.784165143966675
16.11575,108.231028,2.806724071502686
16.115752,108.23103,2.826024770736694
16.115754,108.231032,2.842067241668701
16.115756,108.231034,2.854851722717285
16.115758,108.231036,2.864377737045288
16.11576,108.231038,2.870645761489868
16.115762,108.23104,2.878929615020752
16.115764,108.231042,2.890605926513672
16.115766,108.231044,2.900180101394653
16.115768,108.231046,2.907652378082275
16.11577,108.231048,2.913022518157959
16.115772,108.23105,2.916290760040283
16.115774,108.231052,2.917456865310669
16.115776,108.231054,2.916521072387695
16.115778,108.231056,2.913483381271362
16.11578,108.231058,2.908343553543091
16.115782,108.23106,2.90110182762146
16.115784,108.231062,2.891757965087891
16.115786,108.231064,2.883696556091309
16.115788,108.231066,2.876945018768311
16.11579,108.231068,2.870238304138184
16.115792,108.23107,2.863576412200928
16.115794,108.231072,2.856959581375122
16.115796,108.231074,2.850387334823608
16.115798,108.231076,2.843860149383545
16.1158,108.231078,2.837377786636353
16.115802,108.23108,2.830940246582031
16.115804,108.231082,2.824819564819336
16.115806,108.231084,2.832435369491577
16.115808,108.231086,2.838982582092285
16.11581,108.231088,2.844460725784302
16.115812,108.23109,2.848870277404785
16.115814,108.231092,2.852210760116577
16.115816,108.231094,2.854482412338257
16.115818,108.231096,2.855685234069824
16.11582,108.231098,2.855819225311279
16.115822,108.2311,2.854884386062622
16.115824,108.231102,2.852880477905273
16.115826,108.231104,2.849807977676392
16.115828,108.231106,2.846867322921753
16.11583,108.231108,2.847078323364258
16.115832,108.23111,2.84615159034729
16.115834,108.231112,2.844086885452271
16.115836,108.231114,2.840884208679199
16.115838,108.231116,2.836543798446655
16.11584,108.231118,2.83106541633606
16.115842,108.23112,2.824449062347412
16.115844,108.231122,2.816694736480713
16.115846,108.231124,2.807802677154541
16.115848,108.231126,2.806484222412109
16.11585,108.231128,2.811128377914429
16.115852,108.23113,2.814999580383301
16.115854,108.231132,2.818097591400146
16.115856,108.231134,2.820422649383545
16.115858,108.231136,2.821974277496338
16.11586,108.231138,2.822752714157104
16.115862,108.23114,2.822758197784424
16.115864,108.231142,2.821990489959717
16.115866,108.231144,2.820449590682983
16.115868,108.231146,2.818135499954224
16.11587,108.231148,2.815048456192017
16.115872,108.23115,2.838345766067505
16.115874,108.231152,2.870070219039917
16.115876,108.231154,2.901842832565308
16.115878,108.231156,2.933663368225098
16.11588,108.231158,2.965532064437866
16.115882,108.23116,2.997448444366455
16.115884,108.231162,3.029412984848022
16.115886,108.231164,3.061425447463989
16.115888,108.231166,3.093485832214355
16.11589,108.231168,3.125859975814819
16.115892,108.23117,3.160154581069946
16.115894,108.231172,3.193711042404175
16.115896,108.231174,3.226529359817505
16.115898,108.231176,3.258610010147095
16.1159,108.231178,3.289952278137207
16.115902,108.23118,3.320556640625
16.115904,108.231182,3.350422859191895
16.115906,108.231184,3.37955117225647
16.115908,108.231186,3.407941579818726
