lat, lon
1792053.344,12035270.462
1792053.344,12035270.462
1792053.344,12035270.462
1792053.344,12035270.462
1792053.344,12035270.462
1792055.198,12035270.462
1792055.198,12035270.462
1792055.198,12035272.316
1792055.198,12035272.316
1792055.198,12035272.316
1792055.198,12035272.316
1792055.198,12035272.316
1792055.198,12035272.316
1792057.052,12035272.316
1792057.052,12035272.316
1792057.052,12035272.316
1792057.052,12035274.17
1792057.052,12035274.17
1792057.052,12035274.17
1792057.052,12035274.17
1792057.052,12035274.17
1792058.906,12035274.17
1792058.906,12035274.17
1792058.906,12035274.17
1792058.906,12035276.024
1792058.906,12035276.024
1792058.906,12035276.024
1792058.906,12035276.024
1792058.906,12035276.024
1792058.906,12035276.024
1792060.76,12035276.024
1792060.76,12035276.024
1792060.76,12035277.878
1792060.76,12035277.878
1792060.76,12035277.878
1792060.76,12035277.878
1792060.76,12035277.878
1792060.76,12035277.878
1792062.614,12035277.878
1792062.614,12035277.878
1792062.614,12035277.878
1792062.614,12035279.732
1792062.614,12035279.732
1792062.614,12035279.732
1792062.614,12035279.732
1792062.614,12035279.732
1792064.468,12035279.732
1792064.468,12035279.732
1792064.468,12035279.732
1792064.468,12035281.586
1792064.468,12035281.586
1792064.468,12035281.586
1792064.468,12035281.586
1792064.468,12035281.586
1792064.468,12035281.586
1792066.322,12035281.586
1792066.322,12035281.586
1792066.322,12035283.44
1792066.322,12035283.44
1792066.322,12035283.44
1792066.322,12035283.44
1792066.322,12035283.44
1792066.322,12035283.44
1792068.176,12035283.44
1792068.176,12035283.44
1792068.176,12035283.44
1792068.176,12035285.294
1792068.176,12035285.294
1792068.176,12035285.294
1792068.176,12035285.294
1792068.176,12035285.294
1792070.03,12035285.294
1792070.03,12035285.294
1792070.03,12035285.294
1792070.03,12035287.148
1792070.03,12035287.148
1792070.03,12035287.148
1792070.03,12035287.148
1792070.03,12035287.148
1792070.03,12035287.148
1792071.884,12035287.148
1792071.884,12035287.148
1792071.884,12035289.002
1792071.884,12035289.002
1792071.884,12035289.002
1792071.884,12035289.002
1792071.884,12035289.002
1792071.884,12035289.002
1792073.738,12035289.002
1792073.738,12035289.002
1792073.738,12035289.002
1792073.738,12035290.856
1792073.738,12035290.856
1792073.738,12035290.856
1792073.738,12035290.856
1792073.738,12035290.856
1792075.592,12035290.856
1792075.592,12035290.856
1792075.592,12035290.856
1792075.592,12035292.71
1792075.592,12035292.71
1792075.592,12035292.71
1792075.592,12035292.71
1792075.592,12035292.71
1792075.592,12035292.71
1792077.446,12035292.71
1792077.446,12035292.71
1792077.446,12035294.564
1792077.446,12035294.564
1792077.446,12035294.564
1792077.446,12035294.564
1792077.446,12035294.564
1792077.446,12035294.564
1792079.3,12035294.564
1792079.3,12035294.564
1792079.3,12035294.564
1792079.3,12035296.418
1792079.3,12035296.418
1792079.3,12035296.418
1792079.3,12035296.418
1792079.3,12035296.418
1792081.154,12035296.418
1792081.154,12035296.418
1792081.154,12035296.418
1792081.154,12035298.272
1792081.154,12035298.272
1792081.154,12035298.272
1792081.154,12035298.272
1792081.154,12035298.272
1792081.154,12035298.272
1792083.008,12035298.272
1792083.008,12035298.272
1792083.008,12035300.126
1792083.008,12035300.126
1792083.008,12035300.126
1792083.008,12035300.126
1792083.008,12035300.126
1792083.008,12035300.126
1792084.862,12035300.126
1792084.862,12035300.126
1792084.862,12035300.126
1792084.862,12035301.98
1792084.862,12035301.98
1792084.862,12035301.98
1792084.862,12035301.98
1792084.862,12035301.98
1792086.716,12035301.98
1792086.716,12035301.98
1792086.716,12035301.98
1792086.716,12035303.834
1792086.716,12035303.834
1792086.716,12035303.834
1792086.716,12035303.834
1792086.716,12035303.834
1792086.716,12035303.834
1792088.57,12035303.834
1792088.57,12035303.834
1792088.57,12035305.688
1792088.57,12035305.688
1792088.57,12035305.688
1792088.57,12035305.688
1792088.57,12035305.688
1792088.57,12035305.688
1792090.424,12035305.688
1792090.424,12035305.688
1792090.424,12035305.688
1792090.424,12035307.542
1792090.424,12035307.542
1792090.424,12035307.542
1792090.424,12035307.542
1792090.424,12035307.542
1792092.278,12035307.542
1792092.278,12035307.542
1792092.278,12035307.542
1792092.278,12035309.396
1792092.278,12035309.396
1792092.278,12035309.396
1792092.278,12035309.396
1792092.278,12035309.396
1792092.278,12035309.396
1792094.132,12035309.396
1792094.132,12035309.396
1792094.132,12035311.25
1792094.132,12035311.25
1792094.132,12035311.25
1792094.132,12035311.25
1792094.132,12035311.25
1792094.132,12035311.25
1792095.986,12035311.25
1792095.986,12035311.25
1792095.986,12035311.25
1792095.986,12035313.104
1792095.986,12035313.104
1792095.986,12035313.104
1792095.986,12035313.104
1792095.986,12035313.104
1792097.84,12035313.104
1792097.84,12035313.104
1792097.84,12035313.104
1792097.84,12035314.958
1792097.84,12035314.958
1792097.84,12035314.958
1792097.84,12035314.958
1792097.84,12035314.958
1792097.84,12035314.958
1792099.694,12035314.958
1792099.694,12035314.958
1792099.694,12035316.812
1792099.694,12035316.812
1792099.694,12035316.812
1792099.694,12035316.812
1792099.694,12035316.812
1792099.694,12035316.812
1792101.548,12035316.812
1792101.548,12035316.812
1792101.548,12035316.812
1792101.548,12035318.666
1792101.548,12035318.666
1792101.548,12035318.666
1792101.548,12035318.666
1792101.548,12035318.666
1792103.402,12035318.666
1792103.402,12035318.666
1792103.402,12035318.666
1792103.402,12035320.52
1792103.402,12035320.52
1792103.402,12035320.52
1792103.402,12035320.52
1792103.402,12035320.52
1792103.402,12035320.52
1792105.256,12035320.52
1792105.256,12035320.52
1792105.256,12035322.374
1792105.256,12035322.374
